GEOID,percent_flood_100,percent_flood_500,percent_tidal,blue_percent,asthma,diabetes,vulnerable_age,minority_rate,old_home_rate,low_income_rate,unemployment_rate
11001004703,0,0,0,7.659501469,10.6,6.3,7.764705882,65.05882353,18.18181818,38.6743215,29.91115499
11001004704,0,0,0,2.26189642,14.6,15.4,25.69620253,93.41772152,59.44584383,93.26923077,NA
11001010603,0,0,0,25.13189742,9.1,2.8,2.537080406,25.09758002,1.250601251,8.799565454,5.9375
11001010601,0,0,0,9.107375581,9.7,2.9,2.385892116,41.54564315,2.788586252,15.30221882,8.439490446
11001011002,59.18349685,88.18206875,42.52099454,46.54107216,9.8,8.6,31.48148148,34.19312169,92.02633504,23.51375333,28.80434783
11001010201,0,29.61065615,0,9.747465444,9.6,3.9,12.89884589,57.8071962,39.88463123,17.74349084,15.45524101
11001011001,0,38.675278,0,21.07114299,10,7.9,23.23561346,44.80636989,89.25318761,22.084196,24.16452442
11001007203,0,1.379745292,0,2.384983565,9.6,3.6,10.49924357,43.23751891,10.94858156,17.39583333,15.19410977
11001009510,0,0,0,1.756247758,12.7,13.3,20.25898079,94.23558897,78.14536341,35.8961039,37.59504365
11001009511,0,0,0,4.316480538,14,7.1,7.503506311,35.20336606,NA,NA,67.04067321
11001000600,0.951415806,0.958009825,0,2.637334175,9.6,6.5,25.14311885,16.28119991,94.88412768,14.02777778,29.75596229
11001000702,0,0,0,1.814842184,9.2,4.1,21.30287126,44.02593393,96.36436276,30.15582035,21.89105858
11001007404,0,0,0,3.032613343,13.7,10.2,10.68773234,99.46561338,31.31935882,41.04423495,38.45055337
11001007301,65.53376966,72.23556161,58.94734422,58.0225638,9.9,3.6,19.66463415,45.25261324,28.03867403,13.20330083,21.37054045
11001002702,6.364223954,7.018773883,0,1.964441266,9.4,5.6,19.72032987,40.39082108,95.83167924,19.85815603,19.20620438
11001008301,0,0,0,12.85519734,9.3,3.9,13.61715957,27.49431264,73.57482185,7.437000615,11.62704309
11001001600,10.14817672,10.70844476,0,1.556716559,9.8,10.1,30.01380398,77.4206271,97.72357724,7.937395193,31.99891804
11001010500,15.5369055,39.06401598,0,37.06565252,11,7.5,12.92924037,51.06659729,56.75886249,27.50424448,17.95883846
